ID,Asking_Price,Bedrooms,Square_Feet,Age,Baths,Garage,Stories,Year,Lot_Size,Total_Rooms
2,154.9,3,1500,18,1.5,2,1,1988,NA,6
4,144.9,3,1336,85,1.5,1,2,1921,NA,6
6,141.9,3,1410,40,1.5,2,1,1966,11220,8
13,132,5,1711,95,2,2,2,1911,6072,NA
17,126.5,3,1380,96,2,1,2,1910,11600,7
19,123.9,3,1000,37,1,1,1,1969,NA,7
22,119.9,6,1338,100,2,2,2,1906,5808,9
24,117.9,3,1172,65,1.5,1,2,1941,NA,6
25,116.9,3,1100,65,1,2,2,1941,6403,7
27,114.9,2,900,36,1,1,1,1970,6970,5
33,104.9,3,814,106,1,0,2,1900,NA,5
36,97.9,2,695,67,1,1,2,1939,7788,6
42,126.5,3,1380,96,2,1,2,1910,11600,7
43,124.9,3,1189,60,1,1,2,1946,NA,7
49,119.9,3,1040,35,1.5,0,2,1971,NA,6
50,118.9,5,1417,106,2,0,2,1900,5676,9
52,114.9,2,804,46,1,0,1,1960,10890,7
55,114.5,2,642,59,1,1,2,1947,19536,3
57,109.9,3,1244,95,2,1,2,1911,7938,7
61,101,3,1128,108,2,0,2,1898,5544,NA
63,94.9,4,1158,100,1,1,2,1906,NA,7
64,79.9,2,980,57,1,0,1,1949,12660,4
