live.chernobyl	age	sex	alc.post
Yes	20	Male	no
No	61	Female	no
No	23	Male	no
No	21	Female	no
No	72	Male	no
No	75	Female	no
No	45	Male	no
No	40	Female	no
No	65	Female	no
No	21	Female	yes
No	69	Male	no
No	71	Female	no
No	77	Female	no
No	55	Male	before
No	22	Male	yes
No	47	Female	no
No	51	Female	before
No	61	Female	no
No	63	Male	before
No	45	Female	no
No	54	Female	no
No	51	Male	no
No	26	Female	no
No	24	Male	no
No	75	Male	no
No	75	Female	no
No	67	Female	no
No	78	Female	no
Yes	67	Male	no
No	53	Female	no
No	26	Male	no
Yes	60	Male	no
Yes	36	Male	yes
No	47	Male	before
No	59	Female	no
No	84	Female	no
No	41	Female	no
No	21	Male	no
No	73	Female	no
Yes	47	Male	before
No	43	Male	no
No	18	Male	no
No	50	Male	no
No	43	Male	no
Yes	77	Female	no
No	36	Female	no
No	73	Male	no
No	51	Female	no
No	63	Male	no
No	70	Male	no
Yes	44	Female	no
No	78	Female	no
No	56	Female	no
No	52	Male	no
No	19	Female	no
No	22	Female	no
No	25	Male	no
No	75	Female	no
No	80	Male	before
No	38	Female	no
No	42	Male	before
No	36	Female	no
No	74	Female	no
No	76	Female	no
No	74	Female	no
No	45	Male	yes
Yes	70	Male	no
No	74	Female	no
No	57	Female	no
No	36	Female	no
No	73	Male	no
No	77	Female	no
No	61	Male	yes
No	64	Female	no
Yes	19	Female	no
No	89	Female	no
No	45	Female	no
No	42	Female	no
No	46	Female	no
No	60	Male	before
No	47	Male	no
No	65	Male	before
No	26	Female	no
Yes	71	Female	no
No	53	Female	no
No	43	Female	no
No	60	Male	no
No	58	Female	no
No	83	Male	no
Yes	28	Male	yes
No	76	Male	no
No	65	Female	no
No	33	Female	no
No	90	Female	no
No	82	Female	no
No	76	Female	no
No	73	Female	no
No	68	Female	no
No	38	Male	no
No	51	Female	no
No	32	Female	yes
No	58	Female	no
No	58	Male	before
No	63	Male	before
Yes	42	Male	no
No	62	Female	no
Yes	29	Female	no
No	28	Female	no
Yes	46	Female	no
Yes	35	Female	no
No	36	Male	no
Yes	65	Male	before
No	53	Female	no
No	28	Male	yes
Yes	53	Male	no
No	62	Male	no
No	40	Male	no
No	90	Female	no
Yes	76	Male	before
No	37	Female	no
No	37	Female	no
No	19	Female	no
No	60	Female	no
No	39	Female	no
Yes	50	Male	no
Yes	48	Male	no
No	64	Female	no
Yes	42	Female	no
No	59	Male	no
Yes	39	Female	no
No	76	Female	no
No	48	Female	no
No	50	Male	no
No	41	Female	no
No	41	Female	no
No	26	Male	no
No	73	Male	no
No	40	Female	no
No	30	Female	no
No	76	Female	no
No	76	Male	no
No	70	Female	no
No	73	Female	no
No	49	Female	no
No	36	Female	no
No	54	Female	before
No	27	Male	no
No	30	Female	no
No	71	Female	no
No	47	Female	no
No	67	Male	before
No	29	Female	no
No	74	Female	no
No	26	Male	no
No	18	Female	no
No	84	Female	no
No	81	Female	no
No	60	Male	no
No	75	Female	no
No	41	Female	no
No	64	Female	no
No	38	Female	no
No	54	Female	no
No	43	Female	no
No	50	Male	no
No	48	Male	before
No	26	Male	yes
No	68	Female	no
No	87	Female	no
No	64	Female	no
No	53	Female	no
No	74	Female	no
No	65	Male	no
No	45	Female	no
No	61	Female	no
No	80	Female	no
No	52	Female	no
No	71	Male	no
No	43	Female	no
No	40	Male	yes
No	80	Female	no
No	81	Female	no
No	18	Female	no
No	32	Male	no
No	42	Female	no
No	67	Female	no
No	76	Female	no
No	21	Female	no
No	82	Female	no
No	80	Male	no
No	27	Female	no
No	77	Female	no
No	29	Male	no
No	82	Female	no
No	28	Female	no
No	42	Female	no
No	48	Male	no
No	77	Female	no
No	20	Male	no
No	59	Female	no
No	50	Female	no
No	57	Female	no
No	29	Female	no
No	32	Male	yes
Yes	43	Female	no
No	65	Male	no
No	33	Male	no
No	45	Male	no
No	39	Female	no
No	49	Female	no
No	43	Male	no
No	48	Female	no
No	38	Male	no
No	64	Female	no
No	45	Female	no
No	64	Female	no
No	39	Female	no
No	48	Male	no
No	61	Male	no
No	45	Female	no
No	73	Female	no
Yes	58	Male	no
No	78	Female	no
No	51	Male	no
No	60	Female	no
No	26	Female	yes
No	58	Female	no
No	31	Male	no
No	22	Male	no
No	46	Female	no
No	75	Female	no
No	35	Male	yes
No	55	Male	no
No	47	Male	no
No	48	Female	no
No	67	Female	no
No	41	Female	no
No	71	Female	no
No	71	Female	no
No	73	Male	no
No	32	Male	no
Yes	32	Male	no
Yes	88	Female	no
No	59	Male	before
No	55	Female	no
No	88	Female	no
No	21	Male	yes
No	65	Female	no
No	30	Female	no
No	51	Female	no
No	38	Female	no
No	22	Female	no
No	51	Female	no
No	37	Female	no
No	40	Female	no
No	50	Female	no
No	45	Female	no
No	32	Male	no
No	25	Female	no
No	68	Female	no
No	78	Male	no
No	31	Male	no
No	59	Female	no
No	80	Male	no
Yes	72	Female	no
No	58	Female	no
No	69	Female	no
No	72	Male	before
No	73	Female	no
No	35	Female	no
No	33	Female	no
No	77	Female	no
No	41	Male	no
No	64	Female	no
No	78	Male	no
No	60	Female	no
No	59	Female	no
No	61	Female	no
No	59	Female	no
No	19	Male	no
No	52	Female	no
No	25	Female	no
No	66	Female	no
No	18	Female	no
No	31	Female	no
No	53	Female	no
No	64	Female	no
No	86	Male	no
No	45	Female	no
No	63	Female	no
No	45	Male	no
No	32	Male	no
No	63	Female	no
No	80	Female	no
Yes	61	Female	no
No	43	Male	no
No	75	Female	no
Yes	74	Male	no
Yes	60	Male	no
No	65	Female	no
No	76	Female	no
No	38	Female	no
No	38	Female	no
No	67	Male	no
Yes	36	Female	no
No	22	Male	yes
No	18	Male	no
No	71	Female	no
No	52	Male	no
No	49	Male	no
No	62	Female	no
No	18	Female	no
No	20	Female	no
No	43	Male	yes
No	48	Female	no
No	26	Female	no
No	50	Female	no
No	29	Female	no
No	25	Female	yes
No	18	Female	no
No	56	Female	no
No	77	Female	no
No	42	Female	no
No	63	Female	no
No	60	Female	no
No	64	Male	no
No	31	Male	yes
No	47	Female	no
No	68	Female	no
No	37	Female	no
Yes	40	Female	yes
No	38	Male	yes
No	30	Male	no
Yes	64	Female	no
Yes	58	Female	no
No	47	Female	no
Yes	46	Female	no
No	48	Male	no
Yes	51	Male	before
Yes	60	Female	no
No	80	Male	no
No	42	Male	before
No	49	Female	no
No	37	Male	yes
No	43	Male	no
No	75	Male	no
Yes	45	Female	no
Yes	66	Female	no
Yes	52	Female	no
Yes	33	Male	yes
No	28	Male	no
No	23	Male	no
No	64	Female	no
Yes	71	Female	no
Yes	18	Female	no
Yes	47	Female	no
Yes	65	Female	no
No	52	Female	no
No	71	Male	before
Yes	71	Female	no
No	89	Male	no
No	18	Female	no
No	22	Female	no
No	42	Male	no
No	62	Female	no
No	73	Female	no
No	33	Male	yes
No	52	Female	no
No	65	Female	no
No	48	Female	no
No	73	Female	no
No	51	Male	no
No	43	Female	no
No	20	Male	yes
Yes	44	Female	no
No	42	Male	no
No	64	Male	no
No	51	Male	yes
No	53	Male	no
Yes	72	Female	no
No	61	Male	no
No	66	Male	no
No	73	Male	before
Yes	31	Female	no
No	57	Female	no
No	72	Female	no
No	39	Male	yes
No	23	Male	no
No	65	Female	no
No	52	Female	no
No	69	Male	no
No	45	Female	no
No	53	Female	no
No	33	Female	no
No	59	Female	no
No	50	Male	no
No	55	Male	before
No	63	Female	no
No	29	Male	yes
No	54	Male	no
No	66	Male	no
No	71	Female	no
No	57	Female	no
No	48	Female	no
No	75	Female	no
No	69	Female	no
Yes	62	Male	no
No	38	Female	no
No	24	Female	no
No	25	Female	no
No	54	Male	before
No	53	Male	before
No	45	Female	no
No	29	Female	no
No	49	Female	no
No	18	Male	no
No	65	Female	no
No	44	Male	no
No	27	Female	no
No	46	Male	before
No	28	Male	no
No	73	Female	no
Yes	55	Male	no
No	71	Male	no
No	53	Female	no
No	18	Male	no
No	63	Female	no
Yes	30	Male	yes
No	51	Female	no
No	52	Female	no
No	69	Female	no
No	84	Female	no
No	38	Male	no
No	76	Male	no
No	71	Female	no
No	41	Female	no
No	39	Male	no
No	52	Female	no
No	57	Female	no
No	49	Female	no
No	44	Female	no
No	65	Male	yes
No	61	Female	no
No	67	Male	no
No	74	Female	no
No	34	Female	no
No	46	Male	no
No	74	Male	before
No	76	Female	no
No	64	Female	no
No	44	Male	yes
No	39	Male	no
No	22	Female	no
No	60	Male	before
No	61	Female	no
No	30	Female	no
No	37	Female	no
No	20	Male	no
No	39	Male	no
No	24	Female	no
No	52	Male	no
No	77	Male	no
No	65	Female	no
No	48	Male	before
