field_goal_result,kick_distance,surface
made,37,turf
made,46,turf
made,54,turf
made,40,turf
made,43,turf
made,25,grass
missed,53,turf
made,45,turf
made,38,grass
missed,46,grass
made,44,grass
missed,42,grass
made,35,grass
made,29,grass
made,50,grass
made,45,grass
made,30,grass
made,24,turf
made,26,grass
made,54,grass
made,46,grass
made,42,turf
made,24,grass
made,39,turf
made,47,grass
made,53,grass
made,30,grass
made,23,turf
missed,48,grass
made,30,grass
made,51,turf
made,32,turf
made,23,grass
made,46,grass
made,37,grass
made,35,grass
made,31,turf
made,21,turf
missed,51,turf
made,55,turf
missed,51,grass
made,45,turf
made,39,grass
missed,54,turf
made,38,grass
made,43,turf
made,48,grass
made,21,turf
made,35,turf
missed,47,turf
made,36,turf
made,21,turf
made,47,grass
made,31,grass
made,25,turf
made,34,grass
made,37,turf
made,27,turf
made,26,grass
missed,36,turf
made,34,grass
made,24,grass
made,38,grass
made,23,turf
made,54,grass
made,41,turf
made,28,grass
made,53,grass
made,31,grass
made,37,turf
made,35,turf
made,35,turf
missed,56,turf
made,33,grass
made,44,turf
made,31,grass
missed,56,grass
made,25,turf
made,24,turf
missed,43,grass
made,46,turf
missed,40,grass
made,26,turf
made,24,grass
made,48,grass
made,38,turf
made,29,turf
made,34,turf
missed,49,turf
made,43,grass
made,28,grass
made,38,turf
made,43,grass
made,32,turf
made,41,turf
made,39,grass
made,37,turf
missed,43,turf
made,53,turf
made,23,grass
made,27,grass
made,52,grass
missed,49,turf
made,20,grass
made,48,turf
made,39,grass
made,23,grass
missed,35,grass
made,57,turf
made,32,turf
made,31,turf
made,53,turf
missed,48,grass
made,29,grass
made,24,grass
made,46,grass
made,40,grass
made,23,grass
made,45,grass
made,30,grass
made,30,grass
made,52,grass
made,39,grass
made,50,grass
made,43,grass
made,37,grass
made,22,grass
made,48,turf
made,29,turf
made,32,grass
made,33,turf
made,50,grass
made,46,turf
made,28,turf
made,53,turf
missed,56,turf
missed,47,grass
made,46,grass
made,48,grass
made,31,grass
made,31,grass
missed,40,turf
made,41,turf
made,45,grass
made,33,turf
missed,55,grass
made,22,grass
made,29,turf
made,56,turf
made,40,grass
made,56,grass
missed,48,grass
missed,42,grass
made,32,turf
made,31,turf
made,29,grass
made,31,grass
made,23,turf
made,28,grass
made,25,grass
made,30,grass
missed,43,turf
made,47,turf
made,53,grass
made,46,turf
made,35,turf
made,33,turf
made,45,grass
made,37,grass
made,39,grass
made,48,turf
missed,34,turf
made,33,grass
missed,52,grass
made,48,grass
made,26,grass
missed,45,grass
made,46,turf
made,48,grass
made,51,turf
missed,42,grass
made,23,grass
made,45,grass
made,52,grass
made,33,grass
made,45,grass
missed,35,turf
missed,51,turf
missed,41,grass
made,41,grass
made,43,turf
made,45,grass
made,37,grass
missed,53,grass
made,30,turf
made,33,turf
made,57,grass
made,25,turf
made,47,grass
made,23,grass
made,39,grass
made,38,turf
made,54,turf
missed,37,turf
made,43,grass
made,35,grass
made,46,turf
made,41,turf
made,28,turf
missed,43,grass
made,39,grass
made,47,turf
made,39,grass
made,30,grass
made,46,turf
made,21,turf
made,36,grass
made,24,grass
made,44,grass
made,42,turf
made,45,grass
made,22,turf
made,52,grass
made,20,grass
missed,49,grass
made,36,grass
made,41,turf
made,42,grass
made,48,grass
missed,47,grass
made,27,turf
made,36,turf
made,27,turf
missed,32,turf
made,26,turf
made,22,grass
made,41,grass
made,34,turf
made,41,grass
made,38,turf
made,25,grass
made,40,turf
made,31,grass
made,27,grass
made,30,grass
made,48,grass
made,27,grass
missed,52,grass
made,21,grass
missed,46,grass
missed,58,turf
missed,54,turf
missed,34,grass
made,25,grass
made,38,grass
made,27,grass
made,40,grass
made,54,grass
made,49,turf
made,33,grass
made,44,turf
made,39,turf
made,50,grass
missed,36,grass
made,51,turf
made,28,grass
made,49,grass
made,28,grass
made,29,grass
made,30,turf
made,36,turf
made,27,turf
made,19,turf
made,32,turf
made,44,grass
made,46,turf
made,25,turf
made,38,grass
made,39,grass
made,21,grass
made,39,turf
made,54,grass
made,51,turf
made,22,grass
made,36,grass
made,28,grass
made,31,turf
made,34,grass
made,31,grass
made,26,turf
made,34,turf
made,52,grass
made,44,turf
made,36,grass
made,44,grass
made,22,grass
made,49,turf
made,33,grass
made,29,grass
made,21,grass
made,52,grass
missed,44,grass
made,38,turf
made,45,turf
made,43,grass
made,20,grass
made,25,grass
missed,50,turf
made,31,grass
made,39,grass
made,50,turf
made,51,grass
made,52,grass
made,36,grass
made,34,grass
made,51,turf
made,55,turf
made,31,turf
missed,43,grass
made,55,grass
missed,36,turf
made,21,turf
made,21,grass
made,55,grass
made,28,turf
made,52,grass
made,22,grass
made,36,grass
made,35,grass
made,36,grass
made,43,grass
made,52,grass
made,30,turf
made,48,grass
made,21,turf
made,53,turf
made,52,turf
made,20,grass
missed,45,grass
made,37,grass
missed,44,turf
made,50,grass
made,23,turf
made,36,turf
made,24,grass
made,21,grass
made,30,grass
missed,36,grass
made,40,grass
made,53,turf
missed,41,grass
made,27,turf
made,44,turf
made,25,grass
made,24,turf
missed,48,grass
made,30,grass
made,28,grass
made,49,grass
made,35,turf
made,55,grass
missed,54,turf
made,31,turf
made,22,turf
missed,31,grass
missed,41,grass
missed,53,grass
made,23,grass
made,33,turf
made,39,grass
made,46,turf
made,21,grass
made,23,grass
made,45,turf
made,32,grass
made,51,grass
made,42,turf
made,53,grass
made,34,grass
made,28,grass
made,24,grass
made,37,turf
made,28,grass
made,43,turf
made,31,grass
made,33,grass
made,43,grass
made,26,grass
made,39,grass
made,29,grass
made,38,turf
made,42,turf
made,43,grass
made,31,turf
made,50,grass
made,54,grass
made,39,turf
made,24,turf
made,44,turf
made,52,turf
made,34,turf
made,20,grass
made,40,grass
missed,59,turf
made,41,turf
made,22,grass
made,22,grass
made,43,grass
made,24,grass
made,27,turf
made,48,grass
made,24,turf
made,43,grass
made,44,grass
made,34,grass
made,49,turf
made,34,grass
made,24,grass
made,28,grass
made,40,grass
made,30,turf
made,38,grass
missed,39,grass
made,31,turf
made,47,grass
made,38,turf
made,39,turf
made,29,turf
made,22,grass
made,36,grass
made,25,grass
missed,35,turf
made,20,grass
made,23,turf
made,21,turf
made,36,grass
made,32,grass
made,23,turf
made,26,grass
missed,57,turf
made,31,turf
made,38,grass
made,52,grass
made,40,grass
made,55,grass
made,48,turf
missed,61,grass
missed,55,turf
made,46,grass
missed,51,grass
made,41,grass
missed,48,grass
made,35,grass
made,32,turf
missed,39,turf
made,31,turf
made,51,grass
made,30,grass
made,34,turf
made,27,grass
made,31,turf
made,37,grass
made,35,grass
made,21,turf
made,24,grass
made,38,grass
made,37,grass
missed,50,turf
missed,68,grass
made,61,grass
made,21,turf
made,52,grass
made,51,grass
made,51,grass
missed,46,grass
made,46,grass
made,52,grass
made,58,grass
made,22,turf
made,48,turf
made,57,turf
made,30,grass
made,36,turf
made,52,grass
made,46,turf
made,22,grass
made,52,grass
made,37,turf
made,34,turf
made,22,grass
made,31,grass
missed,45,grass
made,41,turf
missed,52,grass
made,39,grass
made,27,grass
made,43,grass
missed,56,grass
made,44,turf
made,48,grass
made,30,turf
made,41,grass
made,38,turf
missed,49,grass
made,55,turf
made,40,turf
made,27,turf
made,27,grass
made,45,grass
made,51,turf
made,44,grass
made,37,grass
made,46,grass
made,61,turf
made,40,grass
made,52,grass
made,31,grass
made,34,grass
made,48,turf
missed,44,turf
missed,48,grass
missed,39,turf
made,30,grass
made,38,grass
made,48,turf
made,42,grass
missed,59,turf
missed,53,grass
missed,47,grass
made,26,grass
made,41,turf
made,53,grass
made,44,grass
made,29,grass
made,35,turf
missed,55,turf
made,43,turf
made,53,grass
made,41,turf
made,62,grass
made,29,turf
made,36,grass
made,47,grass
made,29,grass
made,34,grass
missed,49,turf
made,44,grass
made,26,turf
made,21,turf
made,56,turf
made,25,grass
made,38,turf
missed,32,turf
made,32,grass
missed,60,grass
missed,22,grass
missed,55,turf
made,42,grass
made,28,grass
made,44,grass
made,33,turf
made,48,grass
missed,46,grass
made,35,turf
made,42,turf
made,24,turf
made,58,grass
made,23,turf
made,53,turf
made,50,grass
made,33,grass
made,49,grass
made,35,grass
missed,50,grass
made,41,grass
made,53,grass
made,42,grass
made,48,turf
made,42,turf
made,41,grass
made,24,turf
missed,52,turf
made,27,turf
made,26,turf
missed,54,turf
made,43,grass
made,39,turf
made,35,grass
missed,51,grass
made,36,turf
missed,53,grass
made,25,grass
made,43,grass
missed,60,grass
made,53,turf
made,33,grass
made,28,turf
made,34,turf
made,28,turf
made,28,grass
made,40,grass
made,43,turf
made,47,grass
missed,58,grass
made,32,turf
made,51,turf
made,54,turf
made,38,grass
missed,53,grass
made,52,grass
made,37,turf
made,26,grass
made,22,grass
made,37,grass
made,45,turf
made,43,grass
made,38,grass
made,23,grass
made,50,turf
made,52,grass
missed,55,grass
made,39,grass
made,41,turf
missed,53,turf
made,22,grass
missed,51,turf
missed,49,turf
missed,44,turf
made,35,grass
made,23,turf
made,21,grass
made,24,grass
made,25,turf
made,34,grass
made,42,turf
missed,53,turf
made,34,turf
made,48,grass
missed,52,grass
made,51,grass
made,30,grass
made,34,grass
made,38,grass
